"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Climate finance as development aid","https://scispace.com/paper/climate-finance-as-development-aid-3tujda9h","2022","Book Chapter","","","10.4337/9781784715656.00009","","In this chapter, we highlight the relevance of public climate finance - and notably ODA - for climate finance overall. The classification as ODA induces problems related to the normative justification of these financial flows as well as to obfuscation linked to the dual objectives of economic and social development on the one hand, and climate change mitigation and adaptation on the other hand. Since separate international goals exist for both, double counting of what is supposed to be new and additional climate finance should be avoided. Furthermore, confounding the goals creates incentives to spend mitigation finance inefficiently. In contrast, what is required is joint optimisation based on the recognition of distinct objectives as well as distinct instruments. Solutions require a separate accounting for climate finance within ODA, and the recognition that mitigation and climate finance goals are linked. Correspondingly, climate finance goals should be monitored more seriously at the international level. ","In this article , the authors highlight the relevance of public climate finance and notably ODA for climate finance overall and highlight the need for joint optimisation based on the recognition of distinct objectives as well as distinct instruments."
"Keeping a big promise: options for baselines to assess ""new and additional"" climate finance","https://scispace.com/paper/keeping-a-big-promise-options-for-baselines-to-assess-new-luspcvzgwe","2010","Journal Article","Social Science Research Network","Martin Stadelmann
J. Timmons Roberts
Axel Michaelowa","10.2139/SSRN.1711158","https://scispace.com/pdf/keeping-a-big-promise-options-for-baselines-to-assess-new-luspcvzgwe.pdf","All major climate policy agreements - the UN Framework Convention, the Kyoto Protocol and recently the Copenhagen Accord - have stated that climate finance for developing countries will be ”new and additional”. However, the term “new and additional” has never been properly defined. Agreeing a system to measure a baseline from which “new and additional” funding will be calculated will be central to building trust and realising any postKyoto agreement. We explore eight different options for a baseline, and assess each according to several criteria: novelty to existing pledges, additionality to development assistance, environmental effectiveness, distributional consequences, and institutional and political feasibility. Only two baseline options do well on these criteria and are therefore viable: ""new funds only"" and ""above pre-defined business as usual level of development assistance"". The final section assesses the impact of the baseline definition on the novelty and additionality of “fast start finance” pledged under the 2009 Copenhagen Accord, showing that values can vary from 0 to 100% depending on the definition.","In this paper, the authors explore eight different options for a baseline, and assess each according to several criteria: novelty to existing pledges, additionality to development assistance, environmental effectiveness, distributional consequences, and institutional and political feasibility."
"The UNFCCC work programme on long-term finance","https://scispace.com/paper/the-unfccc-work-programme-on-long-term-finance-17ue426fqp","2012","","","Tim Gore","","","New sources of climate finance must be found to curb the alarming shift in Official Development Assistance (ODA) to climate finance and to protect the development gains of recent decades. Climate change is an additional burden for poor countries, and requires additional resources to tackle it. 
The outcomes of the UNFCCC Work Programme on Long-term Finance will determine whether the goals of reaching the target of $100bn per year by 2020 committed to at Copenhagen, and keeping global warming below 2oC, let alone the 1.5°C needed, will stay within reach. Oxfam believes that the UNFCCC Work Programme must lead to a breakthrough in delivery of scaled-up, new and additional, predictable finance for adaptation and mitigation in developing countries. This briefing examines financing needs, possible sources of finance and delivery mechanisms, and action needed at COP 18.","The outcomes of the UNFCCC Work Programme on Long-term finance will determine whether the goals of reaching the target of $100bn per year by 2020 committed to at Copenhagen, and keeping global warming below 2oC, let alone the 1.5°C needed, will stay within reach as mentioned in this paper."
"Climate finance additionality: emerging definitions and their implications","https://scispace.com/paper/climate-finance-additionality-emerging-definitions-and-their-4jt7uyy7ae","2010","","","Jessica Brown
Neil Bird
Liane Schalatek","","http://www.indiaenvironmentportal.org.in/files/Schalatek_Climate_Finance_Additionality.pdf","The Copenhagen Accord calls for a collective commitment by developed countries to provide ‘new and additional resources...approaching USD 30 billion for the period 20102012 with balanced allocation between adaptation and mitigation... [and] in the context of meaningful mitigation actions and transparency on implementation, developed countries commit to a goal of mobilizing jointly USD 100 billion dollars a year by 2020 to address the needs of developing countries.’ Rapid and successful deployment of this international public finance is a critical first step in allowing developing countries to adapt to climate change and pursue actions that will allow them to move onto a low carbon development pathway. However, it remains unclear (1) how additionality is defined in the Copenhagen Accord when it promises ‘new and additional resources’; and (2) how such large sums of money are going to be raised. These considerations remain elusive in the Accord, but are fundamental to ensuring that financial commitments are met and secured in such a way that international public funds are not diverted away from long-term commitments to support development in poor countries. Therefore, further reflection is needed around how ‘new and additional’ is being defined and what this implies for developing countries.","The Copenhagen Accord as mentioned in this paper calls for a collective commitment by developed countries to provide new and additional resources, reaching USD 30 billion for the period 20102012 with balanced allocation between adaptation and mitigation."
"Baseline for trust: defining ‘new and additional’ climate funding","https://scispace.com/paper/baseline-for-trust-defining-new-and-additional-climate-11xfv3y1yj","2010","","","M Stadelmann
Timmons Roberts
Saleemul Huq","10.5167/UZH-42151","https://www.zora.uzh.ch/id/eprint/42151/1/17080IIED.pdf","Climate finance is becoming a dark curve on the road from Copenhagen to Cancun. Poorer nations fear that richer ones will fulfil the US$30 billion ‘fast-start’ climate finance promises made in the non-binding Copenhagen Accord by relabelling or diverting basic development aid, or by simply delivering on past climate finance pledges. The problem is simple: contributor countries are operating with no clear baseline against which their promise of ‘new and additional’ funding can be counted – and they do not accept the baselines put forth by developing countries. A viable solution for the short term is to use projections of business-as-usual development assistance as baselines. The longer-term benchmark could be the provision of truly ‘new’ funds from new funding sources. Substantial up-front negotiations may be required, but seizing this opportunity to define baselines will build confidence on both sides and create predictability for future finance.","Substantial up-front negotiations may be required, but seizing this opportunity to define baselines will build confidence on both sides and create predictability for future finance."
"How Do Energy Use and Climate Change Affect Fast-Start Finance? A Cross-Country Empirical Investigation","https://scispace.com/paper/how-do-energy-use-and-climate-change-affect-fast-start-29sbzx5624","2020","Journal Article","Sustainability","Renato Passaro
Ivana Quinto
Giuseppe Scandurra
Antonio Thomas","10.3390/SU12229676","https://www.mdpi.com/2071-1050/12/22/9676/pdf","To promote the sustainable development of developing countries through the reduction of greenhouse gas emissions and the impact of anthropogenic activity on the atmosphere, for some decades, developed countries and international institutions provided an increasing amount of climate financing tools, allocated through multiple channels. After the Copenhagen Conference of the Parties (COP15) held in 2009, developed country parties pledged to provide new and additional resources, including forestry and investments, approaching USD 30 billion for the period 2010–2012 and with balanced allocation between mitigation and adaptation. This collective commitment has come to be known as “Fast-start Finance” (FSF). To assess the key factors contributing to the amount and distribution of funding supporting projects using FSF, in this paper, we investigate the relationship between FSF, energy use, and greenhouse gas emissions. To this aim, two main analyses were carried out: (i) a qualitative examination of donor’s funding strategies and (ii) a quantitative analysis deepening the relationship between climate finance and greenhouse gas emissions by beneficiaries through a quantile regression model. Findings indicate a need to redesign the current aid scheme, and suggest an increasing need for financed projects to support sustainable economic innovation patterns of developing countries while paying close attention to the environmental policy context. The purpose was to provide useful feedback to policymakers to assess the effectiveness of the flow of funding for environmental plans and to avoid excessive aid dispersal and consequently a reduction of the FSF benefits.","In this paper, the authors investigated the relationship between fast-start finance and greenhouse gas emissions by using a quantile regression model and found that there is a need to redesign the current aid scheme and suggest an increasing need for financed projects to support sustainable economic innovation patterns of developing countries while paying close attention to the environmental policy context."
"Incrementality and additionality: A new dimension to North-South resource transfers","https://scispace.com/paper/incrementality-and-additionality-a-new-dimension-to-north-249b82nc8x","1994","","","A. Jordan","","","In the last four years, incrementality'' and additionality'' have emerged as new terms in the evolving lexicon of international environmental diplomacy. As Parties to the Conventions on Climate Change, Biodiversity and the Ozone Layer, industrialized states undertake to provide sufficient additional resources (the principle of additionality) to meet the incremental cost (the concept of incrementality) of measures undertaken by the developing countries to tackle global environmental problems. Issues of incrementality and additionality go to the heart of a much deeper and highly contentious debate on who should pay the costs of responding to global environmental problems; on how the payment should be made; on which agency or agencies should manage the transfers; and upon which parties should be compensated. Every sign is that if the overall North to South transfer breaks down or is retarded, then the process of implementing the aforementioned agreements may be jeopardized. This paper reviews the emergency of the two terms in international environmental politics; it pinpoints the theoretical and practical difficulties of defining and implementing them; and it assesses whether these difficulties and conflicts of opinion may, in some manner, be resolved.","In the last four years, incrementality and additionality have emerged as new terms in the evolving lexicon of international environmental diplomacy as discussed by the authors, and they have become a hot topic in international environmental politics."
"Monitoring and Tracking Long-Term Finance to Support Climate Action","https://scispace.com/paper/monitoring-and-tracking-long-term-finance-to-support-climate-4dshy36wee","2011","Report Series","","Barbara Buchner
Jessica Brown
Jan Corfee-Morlot","10.1787/5K44ZCQBBJ42-EN","https://scispace.com/pdf/monitoring-and-tracking-long-term-finance-to-support-climate-4dshy36wee.pdf","The Cancun Agreements formalise a collective commitment by developed countries to provide new and additional funding for action on climate change in developing countries both in the short- and longer-term. This collective financial commitment requires a system to measure, report and verify (MRV) the relevant financial flows across a variety of sources. However, the existing effort to track climate finance lacks transparency, comparability and comprehensiveness. The paper highlights the relevant information that needs to be tracked in order to build a comprehensive MRV system for climate finance, proposing both improvements to current reporting and tracking systems as well as new reporting approaches for a more robust and inclusive MRV system. The paper suggests tracking information along a multi-dimensional structure. This structure is aspirational, to be achieved and added to over time. Certain elements of it might not be feasible in the near term but could be developed with a targeted effort. For example, while not a priority in the near-term it is important to recognise the growing importance of South-South financial flows to support climate action and to anticipate adding reporting on this in future. Of course such a system must also be built up slowly, allowing reporting countries to build capacity to provide higher quality and more complete information over time. In particular, the paper outlines two strawman proposals for reporting on climate finance that integrate existing and new UNFCCC vehicles for reporting or recording information, (i.e. national communications and biennial reports, the registry) as well as drawing on other reporting systems. These are: (i) reporting through limited sources; or (ii) reporting through expanded sources, building on broader institutional collaboration and non-party reporting. Both ‘strawman’ proposals foresee an important oversight role from the UNFCCC to serve as recipient of all data, and to co-ordinate the verification and review and/or international consultation and analysis process. Both options advance a more comprehensive system for storing and accessing data on international climate finance and will facilitate comparison and integration of data across sources.","The Cancun Agreements formalise a collective commitment by developed countries to provide new and additional funding for action on climate change in developing countries both in the short and longer-term as discussed by the authors."
"Le financement international de l'adaptation au changement climatique: quelle vision de l'aide ?","https://scispace.com/paper/le-financement-international-de-l-adaptation-au-changement-3vvbr14z8r","2015","","","Romain Weikmans
Edwin Zaccai","","","Les contestations normatives relatives a la nature des transferts financiers Nord-Sud visant l’adaptation au changement climatique et a ses relations avec l’aide publique au developpement (APD) se sont considerablement accentuees depuis 2009 lorsque les pays developpes se sont conjointement engages a fournir des ressources «nouvelles et supplementaires » a hauteur de 30 milliards de dollars pour la periode 2010-2012 et a mobiliser collectivement 100 milliards de dollars par an d’ici a 2020, en les repartissant de maniere « equilibree » entre l’attenuation et l’adaptation dans les pays en developpement. Mouvements de solidarite internationale, organisations non gouvernementales de protection de l’environnement, representants des pays en developpement, et parfois institutions multilaterales de developpement : nombreux sont les acteurs qui appellent a la mise en place d’un financement international de l’adaptation qui existerait separement de l’aide, en representant une forme de « compensation » liee a la responsabilite disproportionnee des pays developpes dans l’occurrence du changement climatique.Notre these se construit a partir d’un constat : celui de la deconnexion entre une hypothese largement repandue dans la litterature academique (i.e., l’existence d’un financement international de l’adaptation qui serait distinct de l’APD – et original sous divers aspects) et la realite observable (i.e., l’existence d’un tel financement ne se verifie pas dans les faits). Comment expliquer cette deconnexion ? Telle est precisement la question que nous tentons d’elucider dans le present document. Nous formulons l’hypothese selon laquelle les discours opposant le financement international de l’adaptation et l’aide au developpement sont le produit d’une vision particuliere de ce que devrait etre l’APD. L’ambition de notre recherche est des lors de caracteriser cette vision normative de l’aide et d’examiner ses manifestations dans une serie de debats recurrents qui traversent la question du financement international de l’adaptation. Nous mettons en evidence le fait que ces discours renouvellent une vision de l’aide entre Etats souverains destinee a repondre aux injustices internationales et a alimenter un transfert de ressources regulier entre pays riches et pays pauvres.","In this paper, the authors propose a deconnexion entre a hypothese largement repandue dans la litterature academique (i.e., l'existence d'un financement international de l’adaptation which serait distinct from l'aide publique au developpement) and the realite observable."
"Aligning climate and sustainable development finance through an SDG lens. The role of development assistance in implementing the Paris Agreement","https://scispace.com/paper/aligning-climate-and-sustainable-development-finance-through-lnfyb7w0","2022","Journal Article","Global Environmental Change-human and Policy Dimensions","Gabriela Iacobuta
Clara A. Brandi
Adis Dzebo
Sofia Donaji Elizalde Duron","10.1016/j.gloenvcha.2022.102509","","Climate change and development are strongly interconnected. An efficient use of financial resources would, thus require alignment between climate finance and development priorities, as set out in the context of both the Paris Agreement and the 2030 Agenda for Sustainable Development. In this paper, we investigate to what extent climate-related official development assistance (ODA) before and after the Paris Agreement adoption supports the implementation of the Sustainable Development Goals (SDGs). Moreover, we assess to what extent donors align this finance with recipient countries’ climate-related priorities as spelled out in their Nationally Determined Contributions (NDCs). First, we find that climate-relevant ODA contributes to multiple SDGs, above all SDG 7 (energy) and SDG 11 (cities). Second, we find that there is substantial alignment between donors’ and recipients’ SDG priorities, but that this alignment has not improved in recent years, since the conclusion of the Paris Agreement. Third, we find that albeit climate-finance continues to be allocated more to climate-change mitigation than to adaptation, the difference became smaller in recent years. This reduced the misalignment with recipient countries’ NDC climate activities, which focus more on adaptation than mitigation. Overall, we identify coherence, gaps and opportunities for further alignment of climate and development actions, and related finance. Such an alignment is essential to increase the likelihood of implementation of the two international agreements and to ensure that action is guided by recipient countries’ needs. ","In this article , the authors investigate to what extent climate-related official development assistance (ODA) before and after the Paris Agreement adoption supports the implementation of the sustainable development goals (SDGs)."
