"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Strategic choices for renewable energy investment: Conceptual framework and opportunities for further research","https://scispace.com/paper/strategic-choices-for-renewable-energy-investment-conceptual-15n09fb2mx","2012","Journal Article","Energy Policy","Rolf Wüstenhagen
Emanuela Menichetti","10.1016/J.ENPOL.2011.06.050","","","The special issue on Strategic Choices for Renewable Energy Investment as discussed by the authors draws scholarly attention to the processes underlying strategic choices for renewable energy investment, and how they are influenced by energy policy, and disentangles the role of risk-return perceptions, portfolio effects and path dependence in explaining energy investment decisions."
"The Promise and Pitfalls of Venture Capital as an Asset Class for Clean Energy Investment Research Questions for Organization and Natural Environment Scholars","https://scispace.com/paper/the-promise-and-pitfalls-of-venture-capital-as-an-asset-3ar2so54fq","2013","Journal Article","Organization & Environment","Alfred A. Marcus
Joel Malen
Shmuel Ellis","10.1177/1086026612474956","","If venture capital’s role in clean energy is to be more transformative in creating a sustainable society then the trends we reveal in this paper must gain momentum, but whether these trends will co...","In this article, the authors reveal that venture capital's role in clean energy is to be more transformative in creating a sustainable society and the trends they reveal in this paper must gain momentum."
"Renewable Energy Policies and Private Sector Investment: Evidence from Financial Microdata","https://scispace.com/paper/renewable-energy-policies-and-private-sector-investment-3e15pits2k","2015","Journal Article","Environmental and Resource Economics","Miguel Cárdenas Rodríguez
Ivan Haščič
Nick Johnstone
Jérôme Silva
Antoine Ferey","10.1007/S10640-014-9820-X","","This paper analyses the effect of government policies and other determinants on private finance investment in renewable energy. A unique dataset of financial transactions for renewable energy projects is constructed using the Bloomberg New Energy Finance database. The dataset covers 87 countries, six renewable energy sectors (wind, solar, biomass, small hydropower, marine and geothermal) and the 2000–2011 time-span. In a first set of models undertaken at the level of the financial deal we find that, in contrast to quota-based schemes, price-based support schemes are positively correlated with private finance contributions. This result holds for complementary analyses undertaken at the level of the project. However, for those projects in which public finance complements private finance (co-financed projects) neither quota-based measures nor price-based support schemes have a significant effect on private finance flows.","In this article, the effect of government policies and other determinants on private finance investment in renewable energy was analyzed using a dataset of financial transactions for renewable energy projects using the Bloomberg New Energy Finance database."
"Financing investments in renewable energy : the impacts of policy design","https://scispace.com/paper/financing-investments-in-renewable-energy-the-impacts-of-1ahyrixhpk","1998","Journal Article","Renewable & Sustainable Energy Reviews","Ryan Wiser
Steven J. Pickle","10.1016/S1364-0321(98)00007-0","","The costs of electric power projects utilizing renewable energy technologies (RETs) are highly sensitive to financing terms. Consequently, as the electricity industry is restructured and new renewables policies are created, it is important for policymakers to consider the impacts of renewables policy design on RET financing. This paper reviews the power plant financing process for renewable energy projects, estimates the impact of financing terms on levelized energy costs, and provides insights to policymakers on the important nexus between renewables policy design and financing. We review five case studies of renewable energy policies, and find that one of the key reasons that RET policies are not more effective is that project development and financing processes are frequently ignored or misunderstood when designing and implementing renewable energy policies. The case studies specifically show that policies that do not provide long-term stability or that have negative secondary impacts on investment decisions will increase financing costs, sometimes dramatically reducing the effectiveness of the program. Within U.S. electricity restructuring proceedings, new renewable energy policies are being created, and restructuring itself is changing the way RETs are financed. As these new policies are created and implemented, it is essential that policymakers acknowledge the financing difficulties faced by renewables developers and pay special attention to the impacts of renewables policy design on financing. As shown in this paper, a renewables policy that is carefully designed can reduce renewable energy costs dramatically by providing revenue certainty that will, in turn, reduce financing risk premiums.","In this paper, the authors review the power plant financing process for renewable energy projects, and estimate the impact of financing terms on levelized energy costs, and provide insights to policymakers on the important nexus between renewables policy design and financing."
"Mobilizing private finance to drive an energy industrial revolution","https://scispace.com/paper/mobilizing-private-finance-to-drive-an-energy-industrial-52mzsbm64r","2010","Journal Article","Energy Policy","John A. Mathews
Sean Kidney
Karl Dr.Mallon
Mark Hughes","10.1016/J.ENPOL.2010.02.030","","","In this article, the authors discuss the ways in which private financing could be mobilized to drive the energy industrial revolution that is needed if climate change mitigation is to succeed, and discuss how private finance can be used to drive this industrial revolution."
"A tale of two market failures: Technology and environmental policy","https://scispace.com/paper/a-tale-of-two-market-failures-technology-and-environmental-3efbxqofn1","2005","Journal Article","Ecological Economics","Adam B. Jaffe
Richard G. Newell
Robert N. Stavins","10.1016/J.ECOLECON.2004.12.027","","","In this article, the authors suggest that the rate and direction of technological advance is influenced by market and regulatory incentives, and can be costeffectively harnessed through the use of economic-incentive based policy."
"When energy policy meets free-market capitalists: The moderating influence of worldviews on risk perception and renewable energy investment decisions","https://scispace.com/paper/when-energy-policy-meets-free-market-capitalists-the-1fblp7o569","2014","Journal Article","Energy research and social science","Sylviane Chassot
Nina Hampl
Rolf Wüstenhagen","10.1016/J.ERSS.2014.07.013","","Whether or not targets to increase the share of renewable energy will eventually be met critically hinges upon the effectiveness of policies to mobilize private investment. However, just as energy policy can create opportunities, it can also create risk. This paper adds to a growing stream of literature at the intersection of energy research and social sciences that empirically investigates investor perceptions of regulatory risk, and their influence on investment decision-making. Based on choice experiments with 29 venture capital investors from Europe and the United States conducting 1064 investment decisions, we show that high levels of regulatory risk have a negative effect on the likelihood to invest in renewable energy. Furthermore, we find that investors’ worldviews moderate the impact of perceived regulatory risk: respondents who expose strongly individualistic “free-market” worldviews are less likely to invest in renewable energy ventures with high regulatory exposure than other investors.","The authors found that high levels of regulatory risk have a negative effect on the likelihood to invest in renewable energy, and that investors' worldviews moderate the impact of perceived regulatory risk: respondents who expose strongly individualistic ""free-market"" worldviews are less likely to invest with renewable energy ventures with high regulatory exposure than other investors."
"Diffusion of low-carbon technologies and the feasibility of long-term climate targets","https://scispace.com/paper/diffusion-of-low-carbon-technologies-and-the-feasibility-of-5mq6c9fp5o","2015","Journal Article","Technological Forecasting and Social Change","Gokul Iyer
Gokul Iyer
Nathan E. Hultman
Nathan E. Hultman
Jiyong Eom
Haewon McJeon
Pralit Patel
Leon Clarke","10.1016/J.TECHFORE.2013.08.025","","","In this article, the authors explore the potential implications of such constraints based on the GCAM integrated assessment model and highlight that factors that limit technology deployment may have sizeable impacts on the feasibility and mitigation costs of achieving stringent stabilization targets."
"Support systems for the diffusion of renewable energy technologies—an investor perspective","https://scispace.com/paper/support-systems-for-the-diffusion-of-renewable-energy-4o281cvtgf","2006","Journal Article","Energy Policy","Valentina Dinica","10.1016/J.ENPOL.2004.06.014","","","In this paper, the authors proposed an investor-oriented perspective to analyze the diffusion potential of support systems for renewable energy technologies (RET) and concluded that it is not the type of support instrument but rather its risk/profitability characteristics that influence investor behavior and the rate of diffusion."
"Investors take charge of climate policy","https://scispace.com/paper/investors-take-charge-of-climate-policy-1csd6eagy3","2014","Journal Article","Nature Climate Change","Sonja van Renssen","10.1038/NCLIMATE2175","","When it comes to investments, the smart bet may be on clean energy and low-carbon infrastructure. Sonja van Renssen looks at the causes and implications of divestment from fossil fuels.","In this paper, van Renssen looks at the causes and implications of divestment from fossil fuels and suggests that the smart bet may be on clean energy and low-carbon infrastructure."
