"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Mrs. Columbo's antipolitics machine: Quantitative data in responsible finance","https://scispace.com/paper/mrs-columbo-s-antipolitics-machine-quantitative-data-in-85r60wjuqf","2023","Journal Article","Economic anthropology","Aneil Tripathy
David Wood
Elizabeth Ferry","10.1002/sea2.12308","","Metrics and other forms of quantification as technologies for rendering knowledge as measurable, usually quantitative “data,” in simplified, legible, and portable ways, have become increasingly central within discussions of the economy, and these quantitative tools have equally become the subject of anthropological discussion and critique. The motivations behind and effects of numbers in the field of “responsible finance,” already a space where the “ethical claims” of the economy are made explicit, have themselves become the center of ethical discussion, both within the field of responsible finance and among those anthropologists studying that field. The authors of this article (one an academic, one a practitioner in impact investing, and one a hybrid academic‐practitioner in climate finance) respond to the argument that we suggest is implicitly or explicitly present in most of the work around quantification and metrics, namely, that quantification acts as a kind of “antipolitics machine,” rendering political problems as technical ones and simplifying complex realities.","Metrics and data in responsible finance act as an ""antipolitics machine,"" simplifying complex realities and rendering political problems as technical ones."
"Quantifying, economising, and marketising: democratising the social sphere?","https://scispace.com/paper/quantifying-economising-and-marketising-democratising-the-2aztpwqd14","2016","Journal Article","Sociologie Du Travail","Liisa Kurunmäki
Andrea Mennicken
Andrea Mennicken
Peter Miller","10.1016/J.SOCTRA.2016.09.018","https://pure.mpg.de/pubman/item/item_2453342_2/component/file_2522002/SdT_58_2016_Mennicken.pdf","In recent decades, there has been an avalanche of numbers in public life, one that matches that which occurred in the first half of the nineteenth century. The difference today is that many of the numbers that are now so central to political rule pertain to performance, and depend on a felicitous interlocking of quantifying, economising, and marketising. The calculated management of life is at a critical juncture, and it is essential that we consider carefully how this is affecting who we are, what we have become, and who we wish to be. Only a few decades ago, this bandwagon seemed limited or at least focused in its reach, yet it now appears as if no domain of human endeavour can escape. We argue that it is important to differentiate quantifying, economising, and marketising, so as to counter the often phobic response to the unrelenting march of numbers in modern political rule. We call for greater attention to the role of accounting numbers, for accounting numbers go beyond the abstract models of economics and allow a form of action on the actions of others that economics does not. We argue also for greater attention to the conditionality of the performativity of quantification, so that we can identify the conditions under which numbers produce effects, and the varying nature and extent of those effects. Finally, we consider the thorny issue of “democratising” the social sphere, and note that it is only recently that quantification has been largely annexed by the phenomenon dubbed neoliberalism.","The authors argue that it is important to differentiate quantifying, economising, and marketising, so as to counter the often phobic response to the unrelenting march of numbers in modern political rule."
"Quantifying, economising, and marketising: democratising the social sphere?","https://scispace.com/paper/quantifying-economising-and-marketising-democratising-the-3r7fnq4c4s","2016","Posted Content","LSE Research Online Documents on Economics","Liisa Kurunmäki
Andrea Mennicken
Andrea Mennicken
Peter Miller","","","In recent decades, there has been an avalanche of numbers in public life, one that matches that which occurred in the first half of the nineteenth century. The difference today is that many of the numbers that are now so central to political rule pertain to performance, and depend on a felicitous interlocking of quantifying, economising, and marketising. The calculated management of life is at a critical juncture, and it is essential that we consider carefully how this is affecting who we are, what we have become, and who we wish to be. Only a few decades ago, this bandwagon seemed limited or at least focused in its reach, yet it now appears as if no domain of human endeavour can escape. We argue that it is important to differentiate quantifying, economising, and marketising, so as to counter the often phobic response to the unrelenting march of numbers in modern political rule. We call for greater attention to the role of accounting numbers, for accounting numbers go beyond the abstract models of economics and allow a form of action on the actions of others that economics does not. We argue also for greater attention to the conditionality of the performativity of quantification, so that we can identify the conditions under which numbers produce effects, and the varying nature and extent of those effects. Finally, we consider the thorny issue of “democratising” the social sphere, and note that it is only recently that quantification has been largely annexed by the phenomenon dubbed neoliberalism.","The authors argue that it is important to differentiate quantifying, economising, and marketising, so as to counter the often phobic response to the unrelenting march of numbers in modern political rule."
"The Politics of Governance by Quantification Infrastructure","https://scispace.com/paper/the-politics-of-governance-by-quantification-infrastructure-5md0dz7jvh9l","2024","Journal Article","Critical Sociology","Jun Liu
Chuncheng Liu","10.1177/08969205241298291","","Governance by quantification has a long history in human society. However, two critical issues remain underexplored in the sociology of quantification. First, while the social conditions and consequences of governance by numbers have been widely addressed, the politics of the ‘middle ground’ – quantification infrastructure itself, particularly with the rise of digitalization – are not fully elaborated. Second, the power dynamics that underpin and shape institutionalized quantification politics remain understudied, as numeracy and statistics are always preceded by political judgments about what to measure and how. This symposium advances discussions on governance by quantification infrastructure by offering a critical, reflective perspective on state quantification infrastructures and shedding new light on contested issues in the sociology of quantification globally.","This symposium explores the politics of governance by quantification infrastructure, examining the power dynamics and institutionalized quantification politics that shape state quantification infrastructures, particularly in the context of digitalization and global sociology."
"Os estudos sociais da quantificação e suas implicações na sociologia","https://scispace.com/paper/os-estudos-sociais-da-quantificacao-e-suas-implicacoes-na-5e4fwxxf3s","2021","Journal Article","Sociologias","Alexandre de Paiva Rio Camargo
Claudia Jorgelina Daniel","10.1590/15174522-109768","https://scispace.com/pdf/os-estudos-sociais-da-quantificacao-e-suas-implicacoes-na-5e4fwxxf3s.pdf","Este trabalho tem um duplo proposito: por um lado, apresentar a relevância, abrangencia e profundidade dos estudos historicos e sociologicos sobre a quantificacao; de outro, reconstruir as origens deste campo e as transformacoes por ele conhecidas ao longo dos ultimos anos. Nesse percurso, interessa-nos destacar os vinculos entre os trabalhos que analisaram os processos de raciocinar, valorar, medir e comparar com numeros e as preocupacoes classicas e contemporâneas da sociologia. Com este objetivo, o presente artigo oferece uma ampla revisao da literatura do campo, buscando despertar o interesse da comunidade de cientistas sociais por suas potencialidades heuristicas. Ao mesmo tempo, procura-se compilar as contribuicoes dos estudos sociais da quantificacao a sociologia como um todo. A primeira secao apresenta um relato historico sobre a formacao desta perspectiva de analise, suas principais obras de referencia e aportes mais significativos. A segunda secao discute as razoes pelas quais entendemos que a sociologia deveria ampliar sua atencao para as operacoes e os regimes de quantificacao nas sociedades contemporâneas. Alem disso, examina as contribuicoes que o campo tem a oferecer para a reflexao sobre as questoes nodais da disciplina, como o problema dos fundamentos da ordem social e da autoridade politica, os processos de diferenciacao social e configuracao de subjetividades, a participacao social, a critica e a agencia social transformadora. *** Abstract This article has a dual purpose: on the one hand, it seeks to present the relevance, scope, and depth of historical and sociological approaches on quantification; on the other, it seeks to reconstruct the origins of this field and its changes over the past few years. Thus, we emphasize the links between the works that analyzed the processes of reasoning, valuing, measuring, and comparing through numbers and sociology’s main classical and contemporary concerns. As such, this article offers a broad review of the literature in the field, seeking to arouse the interest of the community of social scientists for its heuristic potential. At the same time, it seeks to compile the contributions of the social studies of quantification to sociology as a whole. The first section presents a historical account of the formation of this analytical perspective, its main references and most significant contributions. The second section discusses the reasons why we believe sociology should extend its attention to the regimes of quantification in contemporary societies. In addition, it addresses the contributions of the field for the advancement of nodal issues, such as the problem of the foundations of social order and political authority, the processes of social differentiation, and the making of subjects, social engagement, criticism, and social change.","A broad review of the literature in the field, seeking to arouse the interest of the community of social scientists for its heuristic potential, can be found in this article, where the authors present the relevance, scope, and depth of historical and sociological approaches on quantification; on the other, they seek to reconstruct the origins of this field and its changes over the past few years."
"Creating numbers : carbon and capital investment","https://scispace.com/paper/creating-numbers-carbon-and-capital-investment-ax5cvfqaod","2015","Journal Article","Accounting, Auditing & Accountability Journal","Gillian Vesty
Abby Telgenkamp
Philip John Roscoe","10.1108/AAAJ-10-2013-1507","https://scispace.com/pdf/creating-numbers-carbon-and-capital-investment-ax5cvfqaod.pdf","Purpose – The purpose of this paper is to seek to illustrate the way in which carbon emissions are given calculative agency. The authors contribute to sociology of quantification with a specific focus on the performativity of the carbon number as it was introduced to the organization’s capital investment accounts. In following an intangible gas to a physical amount and then to a dollar value, the authors used categories from the sociology of quantification (Espeland and Stevens, 2008) to explore the persuasive attributes of the newly created number and the way it changed the work of actors, including the way they reacted and viewed authority. Design/methodology/approach – An empirical case study in a large Australian water utility drawing on insights from the sociology of calculation. Findings – The authors present empirics on the calculative appeal of the carbon emissions number, how it came into being and its performative (or reactive) effects. The number disciplined behaviour and acted like a boundary ...","In this paper, the authors present empirics on the calculative appeal of the carbon emissions number, how it came into being and its performative (or reactive) effects, including the way actors reacted and viewed authority."
"Clash of the eco-sciences: carbon marketization, environmental NGOs and performativity as politics","https://scispace.com/paper/clash-of-the-eco-sciences-carbon-marketization-environmental-1ay8g2n5py","2011","Journal Article","Economy and Society","Anders Blok","10.1080/03085147.2011.574422","","The performativity of economics programme, pioneered by actor-network theorist Michel Callon, has emerged as an important theoretical intervention at the intersections of science studies, economic sociology and the anthropology of valuation. Exploring the case of contested carbon market designs in global climate governance, however, this article argues that performativity analysts have so far failed to pay sufficient attention to the political dimensions of marketization. Adopting insights from recent materialist approaches to the politics of techno-science, the article addresses this imbalance by outlining three modalities of techno-economic citizenship, as these interfere with the shaping of specific carbon market designs. Drawing on web-based research tools and document analysis, each modality is illustrated via transnational environmental NGO practices of contestation, particularly in the global South. The performativity programme, it is concluded, stands to gain from conceptualizing politics...","In this paper, the authors argue that performativity analysts have so far failed to pay sufficient attention to the political dimensions of marketization, and they address this imbalance by outlining three modalities of techno-economic citizenship, as these interfere with the shaping of specific carbon market designs."
"Making nature investable: from legibility to leverageability in fabricating ‘nature’ as ‘natural capital’","https://scispace.com/paper/making-nature-investable-from-legibility-to-leverageability-2y35kana0m","2018","Journal Article","Science and technology studies","Sian Sullivan","10.23987/STS.58040","https://scispace.com/pdf/making-nature-investable-from-legibility-to-leverageability-2y35kana0m.pdf","In response to perceived valuation problems giving rise to global environmental crisis, ‘nature’ is being qualified, quantified and materialised as the new external(ised) ‘Nature-whole’ of ‘natural capital’. This paper problematises the increasing legibility, through numbering and (ac)counting practices, of natural capital as an apparently exterior ‘matter of fact’ that can be leveraged financially. Interconnected policy and technical texts, combined with observation as an academic participant in recent international environmental policy meetings, form the basis for a delineation of four connected and intensifying dimensions of articulation in fabricating ‘nature’ as ‘natural capital’: discursive, numerical-economic, material and institutional. Performative economic sociology approaches are drawn on to clarify the numbering and calculative practices making and performing indicators of nature health and harm as formally economic. These institutionalised fabrications are interpreted as attempts to enrol previously uncosted ‘standing natures’ in the forward-driving movement of capital.","In this paper, the authors identify four connected and intensifying dimensions of articulation in fabricating nature as natural capital: discursive, numerical-economic, material and institutional, and draw on economic sociology approaches to clarify the numbering and calculative practices making and performing indicators of nature health and harm as formally economic."
"The World of Indicators: The Making of Governmental Knowledge through Quantification","https://scispace.com/paper/the-world-of-indicators-the-making-of-governmental-knowledge-11ogx0jzw1","2015","Book","","Richard Rottenburg
Sally Engle Merry","","","The twenty-first century has seen a further dramatic increase in the use of quantitative knowledge for governing social life after its explosion in the 1980s. Indicators and rankings play an increasing role in the way governmental and non-governmental organizations distribute attention, make decisions, and allocate scarce resources. Quantitative knowledge promises to be more objective and straightforward as well as more transparent and open for public debate than qualitative knowledge, thus producing more democratic decision-making. However, we know little about the social processes through which this knowledge is constituted nor its effects. Understanding how such numeric knowledge is produced and used is increasingly important as proliferating technologies of quantification alter modes of knowing in subtle and often unrecognized ways. This book explores the implications of the global multiplication of indicators as a specific technology of numeric knowledge production used in governance.

Combination of insights from anthropology of law, history of science, science and technology studies, sociology of quantification, economics and geography will appeal to those who are uncomfortable with the separation between 'theoretical' and 'empirical' approaches and with the current weakness of critique that address the main trends shaping the relations between capitalism, markets, law and democracy
Theoretical discussion of the nature and historical formation of quantification will appeal to those who ask questions such as, 'What is new or different about our contemporary reliance on quantitative knowledge?'
Groundbreaking empirical case studies uncover the social work and politics that often go into the making of indicators and explore the far-reaching effects and impacts of these numerical representations in specific settings","In this article, the authors explore the implications of the global multiplication of indicators as a specific technology of numeric knowledge production used in governance and explore the far-reaching effects and impacts of these numerical representations in specific settings."
"Sociology and quantification: economics of convention as an approach to link quantification and public sociology","https://scispace.com/paper/sociology-and-quantification-economics-of-convention-as-an-3chmm4on","2023","Book Chapter","","Philippus Jacobus Fourie","10.4337/9781800377387.00012","","The sociology of quantification is an emerging field, in which different disciplines are engaged to study the quantification processes in different social realms, their effects and usages, but also the plurality of underlying principles and logics of quantification. The science movement of economics of conventions (in short EC) is one of the most important strands, which contributed to the sociology of quantification. EC has identified, how quantification and measurement is based on measurement conventions. These conventions link numbers, but also categories and data in general to a common good. This way, EC can be conceived of as a link between the sociological analysis of processes of quantification (and categorization) to public issue, debates and concerns. It is for this link that EC can be regarded also as a contribution to public sociology. The contribution presents the plurality of conventions and introduces concepts of EC as quality conventions or data worlds. ","In this paper , the authors introduce the notion of quantification conventions as quality conventions or data worlds, which can be regarded as a contribution to public sociology, in which different disciplines are engaged to study the quantification processes in different social realms, their effects and usages, but also the plurality of underlying principles and logics of quantifying."
