doi,title,first_author,year,journal,cited_by_count,cit_per_year,score,is_institutional_report
10.1146/annurev-environ-112320-105050,"Net Zero: Science, Origins, and Implications",Myles Allen,2022.0,Annual Review of Environment and Resources,199.0,49.75,0.702,False
10.1016/j.eneco.2023.107021,Green financing of renewable energy generation: Capturing the role of exogenous moderation for ensuring sustainable development,Avik Sinha,2023.0,Energy Economics,119.0,39.67,0.6962,False
10.1016/j.oneear.2019.10.012,"A Roadmap for Using the UN Decade of Ocean Science for Sustainable Development in Support of Science, Policy, and Action",Joachim Claudet,2019.0,One Earth,310.0,44.29,0.6958,False
10.1093/rfs/hhad085,Banking on Carbon: Corporate Lending and Cap-and-Trade Policy,Ivan Ivanov,2023.0,Review of Financial Studies,146.0,48.67,0.6917,False
10.1016/j.ecolecon.2018.03.013,A Financial Macro-Network Approach to Climate Policy Evaluation,Veronika Stolbova,2018.0,Ecological Economics,138.0,17.25,0.6884,False
10.1201/9781003396949-21,Global landscape of climate finance,James McKellar,2023.0,,349.0,116.33,0.6866,False
10.1007/s11356-021-15023-w,RETRACTED ARTICLE: Testing role of green financing on climate change mitigation: Evidences from G7 and E7 countries,Xueying Wu,2021.0,Environmental Science and Pollution Research,133.0,26.6,0.6835,False
10.1596/978-0-8213-7386-6,World Development Indicators 2008,World Bank,2008.0,The World Bank eBooks,514.0,28.56,0.6832,True
10.1596/978-0-8213-8541-8,Impact Evaluation in Practice,Paul Gertler,2010.0,The World Bank eBooks,686.0,42.88,0.674,True
10.1017/9781009157940.007,"Sustainable Development, Poverty Eradication and Reducing Inequalities",Joyashree Roy,2022.0,Cambridge University Press eBooks,179.0,44.75,0.674,False
10.59429/ace.v7i2.2084,The challenges of sustainable energy transition: A focus on renewable energy,Hosam M. Saleh,2024.0,Applied Chemical Engineering,111.0,55.5,0.674,False
10.1596/1813-9450-1678,Financial Development and Economic Growth: Views and Agenda,Ross Levine,1999.0,World Bank policy research working paper,3034.0,112.37,0.674,True
10.1596/978-0-8213-8232-5,World Development Indicators 2010,World Bank,2010.0,The World Bank eBooks,753.0,47.06,0.674,True
10.1016/j.lana.2024.100746,The 2023 Latin America report of the Lancet Countdown on health and climate change: the imperative for health-centred climate-resilient development,Stella M. Hartinger,2024.0,The Lancet Regional Health - Americas,74.0,37.0,0.674,False
10.1057/s41599-024-04319-0,"Does Artificial Intelligence (AI) enhance green economy efficiency? The role of green finance, trade openness, and R&amp;D investment",Qiang Wang,2025.0,Humanities and Social Sciences Communications,53.0,53.0,0.674,False
10.1038/nclimate2475,Post-2020 climate agreements in the major economies assessed in the light of global models,Massimo Tavoni,2014.0,Nature Climate Change,192.0,16.0,0.6675,False
10.3390/su13073754,Research on the Environmental Effect of Green Finance Policy Based on the Analysis of Pilot Zones for Green Finance Reform and Innovations,Haifeng Huang,2021.0,Sustainability,131.0,26.2,0.6391,False
10.1787/d28f963c-en,Aggregate Trends of Climate Finance Provided and Mobilised by Developed Countries in 2013-2020,OECD,2022.0,Climate finance and the USD 100 billion goal,57.0,14.25,0.6383,True
10.3390/su15032721,Evaluating the Factors of Green Finance to Achieve Carbon Peak and Carbon Neutrality Targets in China: A Delphi and Fuzzy AHP Approach,Chaofeng Li,2023.0,Sustainability,90.0,30.0,0.6314,False
10.1002/wcc.437,From climate finance toward sustainable development finance,Jan Christoph Steckel,2016.0,Wiley Interdisciplinary Reviews Climate Change,132.0,13.2,0.6207,False
10.1111/j.1759-5436.2011.00217.x,Towards a New Political Economy of Climate Change and Development,Thomas Tanner,2011.0,IDS Bulletin,196.0,13.07,0.6185,False
10.1016/j.jclepro.2020.125637,Addressing the effect of climate change in the framework of financial and technological development on cereal production in Pakistan,Abbas Ali Chandio,2020.0,Journal of Cleaner Production,167.0,27.83,0.6185,False
10.3390/su10061990,Institutional Perspectives of Climate-Smart Agriculture: A Systematic Literature Review,Edmond Totin,2018.0,Sustainability,138.0,17.25,0.6135,False
10.1371/journal.pone.0242412,The nexus between environmental tax and carbon emissions with the roles of environmental technology and financial development,Muhammad Farhan Bashir,2020.0,PLoS ONE,188.0,31.33,0.5979,False
10.1787/220062444715,"Cities, Climate Change and Multilevel Governance",Jan Corfee-Morlot,2009.0,OECD environment working papers,298.0,17.53,0.5961,True
10.1186/s12302-019-0222-0,"Climate finance and green growth: reconsidering climate-related institutions, investments, and priorities in Nepal",Tek Jung Mahat,2019.0,Environmental Sciences Europe,81.0,11.57,0.5935,False
10.1596/1813-9450-5969,Global Survey of Development Banks,José De Luna-Martínez,2012.0,World Bank eBooks,159.0,11.36,0.5899,True
10.1787/03590fb7-en,Climate Finance Provided and Mobilised by Developed Countries: Aggregate Trends Updated with 2019 Data,OECD,2021.0,Climate finance and the USD 100 billion goal,52.0,10.4,0.5739,True
10.5089/9798400216428.066,Mobilizing Private Climate Financing in Emerging Market and Developing Economies,Elena Loukoianova,2022.0,IMF Staff Climate Notes,69.0,17.25,0.5655,True
10.3390/su12229375,Dynamic Impacts of Economic Growth and Forested Area on Carbon Dioxide Emissions in Malaysia,Rawshan Ara Begum,2020.0,Sustainability,170.0,28.33,0.5635,False
10.1596/978-1-4648-0268-3,State and Trends of Carbon Pricing 2014,World Bank,2014.0,The World Bank eBooks,281.0,23.42,0.5545,True
10.1596/16491,"Sourcebook for Land Use, Land-Use Change and Forestry Projects",T. Pearson,2013.0,"World Bank, Washington, DC eBooks",370.0,28.46,0.5499,True
10.1016/j.eneco.2024.107595,From aid to resilience: Assessing the impact of climate finance on energy vulnerability in developing countries,Henri Njangang,2024.0,Energy Economics,48.0,24.0,0.5484,False
10.1002/wcc.260,How climate change mitigation could harm development in poor countries,Michael Jakob,2013.0,Wiley Interdisciplinary Reviews Climate Change,113.0,8.69,0.5453,False
10.5089/9781513511955.001,Macroeconomic and Financial Policies for Climate Change Mitigation,Signe Krogstrup,2019.0,IMF Working Paper,104.0,14.86,0.5453,True
10.1007/s12063-023-00410-y,"Can industry 5.0 technologies overcome supply chain disruptions?—a perspective study on pandemics, war, and climate change issues",Shruti Agrawal,2023.0,Operations Management Research,84.0,28.0,0.5422,False
10.1080/14693062.2006.9685605,Technology transfer by CDM projects,Erik Haites,2006.0,Climate Policy,166.0,8.3,0.5388,False
10.1038/nclimate3142,Nested barriers to low-carbon infrastructure investment,Ilmi M. E. Granoff,2016.0,Nature Climate Change,81.0,8.1,0.5354,False
10.1038/s41559-022-01934-5,Mapping the planet’s critical natural assets,Rebecca Chaplin‐Kramer,2022.0,Nature Ecology & Evolution,106.0,26.5,0.5171,False
10.1080/14693062.2018.1459447,Africa and the Green Climate Fund: current challenges and future opportunities,William M. Fonta,2018.0,Climate Policy,56.0,7.0,0.517,False
10.3390/su15065586,Does ESG Impact Firms’ Sustainability Performance? The Mediating Effect of Innovation Performance,Shukang Zhou,2023.0,Sustainability,77.0,25.67,0.5157,False
10.33122/ejeset.v4i2.102,"Nexus between economic growth, natural resources rents, trade globalization, financial development, and carbon emissions toward environmental sustainability in Uruguay",Asif Raihan,2023.0,Electronic Journal of Education Social Economics and Technology,79.0,26.33,0.5143,False
10.1787/f0773d55-en,Climate Finance Provided and Mobilised by Developed Countries in 2013-18,OECD,2020.0,Climate finance and the USD 100 billion goal,41.0,6.83,0.5143,True
10.1080/17565529.2014.934768,Climate finance for developing country mitigation: blessing or curse?,Michael Jakob,2014.0,Climate and Development,74.0,6.17,0.5031,False
10.3390/su15075778,A Bibliometric Analysis of Green Bonds and Sustainable Green Energy: Evidence from the Last Fifteen Years (2007–2022),Ayman Abdalmajeed Alsmadi,2023.0,Sustainability,73.0,24.33,0.5012,False
10.3390/su11051465,The Study of the Impact of Carbon Finance Effect on Carbon Emissions in Beijing-Tianjin-Hebei Region—Based on Logarithmic Mean Divisia Index Decomposition Analysis,Li Li,2019.0,Sustainability,39.0,5.57,0.4932,False
10.1016/j.accre.2016.05.002,Study on the demand of climate finance for developing countries based on submitted INDC,Zhang Wen,2016.0,Advances in Climate Change Research,55.0,5.5,0.492,False
10.1787/9789264249424-en,Climate Finance in 2013-14 and the USD 100 billion Goal,OECD,2015.0,Climate finance and the USD 100 billion goal,59.0,5.36,0.4897,True
10.1002/ijfe.2854,Sustainable finance research: Review and agenda,Monica Singhania,2023.0,International Journal of Finance & Economics,59.0,19.67,0.4865,False
10.1787/5k44zcqbbj42-en,Monitoring and Tracking Long-Term Finance to Support Climate Action,B. Büchner,2011.0,OECD/IEA climate change expert group papers,76.0,5.07,0.4847,True
10.1016/j.worlddev.2019.05.015,Can the Paris deal boost SDGs achievement? An assessment of climate mitigation co-benefits or side-effects on poverty and inequality,Lorenza Campagnolo,2019.0,World Development,128.0,18.29,0.4807,False
10.1016/j.envsci.2012.02.004,"Challenges and opportunities in linking carbon sequestration, livelihoods and ecosystem service provision in drylands",Lindsay C. Stringer,2012.0,Environmental Science & Policy,141.0,10.07,0.4779,False
10.3389/fclim.2021.672996,Who Is Paying for Carbon Dioxide Removal? Designing Policy Instruments for Mobilizing Negative Emissions Technologies,Matthias Honegger,2021.0,Frontiers in Climate,82.0,16.4,0.4777,False
10.1080/17565529.2014.951015,The Green Climate Fund in Africa: what should be different?,Timothy Afful-Koomson,2014.0,Climate and Development,53.0,4.42,0.4738,False
10.1038/nclimate2303,Debt relief and financing climate change action,Adrian Fenton,2014.0,Nature Climate Change,52.0,4.33,0.4725,False
10.1080/17565529.2014.953902,Up-scaling finance for community-based adaptation,Adrian Fenton,2014.0,Climate and Development,48.0,4.0,0.4669,False
10.5089/9798400215872.001,"Debt-for-Climate Swaps: Analysis, Design, and Implementation",Marcos Chamon,2022.0,IMF Working Paper,53.0,13.25,0.4594,True
10.1016/s1876-3804(22)60382-3,"Progress, challenge and significance of building a carbon industry system in the context of carbon neutrality strategy",Caineng Zou,2023.0,Petroleum Exploration and Development,69.0,23.0,0.4586,False
10.1088/1748-9326/aaa3a2,Reports of coal’s terminal decline may be exaggerated,Ottmar Edenhofer,2018.0,Environmental Research Letters,119.0,14.88,0.4582,False
10.1787/5js1qffvmnhk-en,Scaling up and replicating effective climate finance interventions,Takayoshi Kato,2014.0,OECD/IEA climate change expert group papers,40.0,3.33,0.4557,True
10.3389/fclim.2022.895950,Climate Change and Gender in Africa: A Review of Impact and Gender-Responsive Solutions,Alex Awiti,2022.0,Frontiers in Climate,69.0,17.25,0.4549,False
10.3390/ijerph19148724,How Does Green Innovation Strategy Influence Corporate Financing? Corporate Social Responsibility and Gender Diversity Play a Moderating Role,Sohail Ahmad Javeed,2022.0,International Journal of Environmental Research and Public Health,71.0,17.75,0.4515,False
10.1007/s11027-012-9401-7,An analysis of the causes of the mitigation bias in international climate finance,Luis M. Abadie,2012.0,Mitigation and Adaptation Strategies for Global Change,43.0,3.07,0.4514,False
10.1007/s11356-022-21764-z,Green supply chain management/green finance: a bibliometric analysis of the last twenty years by using the Scopus database,Faryal Fahim,2022.0,Environmental Science and Pollution Research,84.0,21.0,0.4511,False
10.1007/s10784-015-9298-1,Financing transition in an adverse context: climate finance beyond carbon finance,Michel Aglietta,2015.0,International Environmental Agreements Politics Law and Economics,40.0,3.64,0.4447,False
10.1002/wcc.495,Economic growth and development with low‐carbon energy,Samuel Fankhauser,2017.0,Wiley Interdisciplinary Reviews Climate Change,176.0,19.56,0.4426,False
10.5334/aogh.4260,Climate Change and Human Health in Africa in Relation to Opportunities to Strengthen Mitigating Potential and Adaptive Capacity: Strategies to Inform an African “Brains Trust”,Caradee Y. Wright,2024.0,Annals of Global Health,44.0,22.0,0.4419,False
10.1016/j.gloenvcha.2014.05.005,Climate finance: A transaction cost perspective on the structure of state-to-state transfers,Steffen Brunner,2014.0,Global Environmental Change,26.0,2.17,0.4362,False
10.1787/286dae5d-en,Climate Finance Provided and Mobilised by Developed Countries in 2016-2020,OECD,2022.0,Climate finance and the USD 100 billion goal,33.0,8.25,0.4294,True
10.3389/fenrg.2021.777796,RETRACTED: Financial Consideration of Energy and Environmental Nexus with Energy Poverty: Promoting Financial Development in G7 Economies,Jialiang Huang,2021.0,Frontiers in Energy Research,25.0,5.0,0.4275,False
10.1186/s13705-022-00340-w,Innovative financing of the sustainable development goals in the countries of the Western Balkans,Igor Lukšić,2022.0,Energy Sustainability and Society,49.0,12.25,0.425,False
10.1007/s43979-022-00039-z,Carbon capture and storage (CCS): development path based on carbon neutrality and economic policy,Minghai Shen,2022.0,Carbon Neutrality,83.0,20.75,0.421,False
10.1007/978-3-319-72026-5_14,Integrated Assessment for Identifying Climate Finance Needs for Loss and Damage: A Critical Review,Anil Markandya,2018.0,"Climate risk management, policy and governance",47.0,5.88,0.4202,False
10.1787/218830433146,Competitive Cities and Climate Change,Lamia Kamal-Chaoui,2009.0,OECD regional development working papers,351.0,20.65,0.4192,True
10.1596/978-0-8213-7679-9,World Bank Group Guarantee Instruments-1990-2007,World Bank,2009.0,The World Bank eBooks,15.0,0.88,0.4148,True
10.1155/2022/2977824,Applications of Intelligent Model to Analyze the Green Finance for Environmental Development in the Context of Artificial Intelligence,D. Hemanand,2022.0,Computational Intelligence and Neuroscience,79.0,19.75,0.4115,False
10.1038/nclimate2370,Feasible mitigation actions in developing countries,Michael Jakob,2014.0,Nature Climate Change,118.0,9.83,0.4094,False
10.1007/s44270-024-00004-4,A mini review for hydrogen production routes toward carbon neutrality,Teng Hu,2025.0,Propulsion and Energy,20.0,20.0,0.4084,False
10.3389/fmars.2022.1024111,Global-scale analysis of socioeconomic impacts of coastal flooding over the 21st century,Ebru Kirezci,2023.0,Frontiers in Marine Science,60.0,20.0,0.4084,False
10.3390/world6020051,"The Adoption and Scaling of Climate-Smart Agriculture Innovation by Smallholder Farmers in South Africa: A Review of Institutional Mechanisms, Policy Frameworks and Market Dynamics",Mary Funke Olabanji,2025.0,World,20.0,20.0,0.4084,False
10.1016/j.tree.2023.02.008,What's on the horizon for community-based conservation? Emerging threats and opportunities,Nafeesa Esmail,2023.0,Trends in Ecology & Evolution,59.0,19.67,0.4029,False
10.1016/j.jfineco.2021.05.008,Do Investors Care about Carbon Risk?,Patrick Bolton,2020.0,Journal of Financial Economics,1.0,0.17,0.4028,False
10.1080/17565529.2020.1711698,Climate change adaptation costs in developing countries: insights from existing estimates,Dipesh Chapagain,2020.0,Climate and Development,60.0,10.0,0.4022,False
10.1111/twec.12029,International Climate Finance and Its Influence on Fairness and Policy,Karen Pittel,2013.0,World Economy,1.0,0.08,0.4013,False
10.1787/9789264272323-en,Mobilising Bond Markets for a Low-Carbon Transition,OECD,2017.0,OECD,,0.0,0.4,True
10.1002/wcc.572,Promises and risks of nonstate action in climate and sustainability governance,Sander Chan,2019.0,Wiley Interdisciplinary Reviews Climate Change,114.0,16.29,0.3991,False
10.1016/j.rser.2019.03.010,"Hydropower development in the Hindu Kush Himalayan region: Issues, policies and opportunities",Abid Hussain,2019.0,Renewable and Sustainable Energy Reviews,135.0,19.29,0.3965,False
10.1088/1748-9326/abc11f,What are the social outcomes of climate policies? A systematic map and review of the ex-post literature,William F. Lamb,2020.0,Environmental Research Letters,105.0,17.5,0.3949,False
10.1016/j.jenvman.2023.119100,Does climate finance and foreign capital inflows drive de-carbonisation in developing economies?,Patrícia Hipólito Leal,2023.0,Journal of Environmental Management,34.0,11.33,0.3942,False
10.5089/9781498311717.007,Fiscal Policies for Paris Climate Strategies-from Principle to Practice,International Monetary Fund. Fiscal Affairs Dept.,2019.0,MF Policy Paper,120.0,17.14,0.3905,True
10.1016/j.rser.2012.04.006,Global warming mitigation and renewable energy policy development from the Kyoto Protocol to the Copenhagen Accord—A comment,Lee Chung Lau,2012.0,Renewable and Sustainable Energy Reviews,231.0,16.5,0.3897,False
10.3389/frsc.2022.932046,"Community adaptation strategies in Nairobi informal settlements: Lessons from Korogocho, Nairobi-Kenya",Christine Njuhi Muchiri,2022.0,Frontiers in Sustainable Cities,16.0,4.0,0.3865,False
10.17645/pag.v10i1.4759,Governance of Fragmented Compliance and Voluntary Carbon Markets Under the Paris Agreement,Hanna-Mari Ahonen,2022.0,Politics and Governance,44.0,11.0,0.3863,False
10.1057/s41599-022-01266-6,Synergies and trade-offs between climate change adaptation options and gender equality: a review of the global literature,Joyashree Roy,2022.0,Humanities and Social Sciences Communications,67.0,16.75,0.3858,False
10.1007/s13280-022-01723-1,Integrating blue: How do we make nationally determined contributions work for both blue carbon and local coastal communities?,Amrit Dencer-Brown,2022.0,AMBIO,67.0,16.75,0.3855,False
10.1073/pnas.1808827116,Experimental evidence on promotion of electric and improved biomass cookstoves,Subhrendu K. Pattanayak,2019.0,Proceedings of the National Academy of Sciences,120.0,17.14,0.3816,False
10.3390/su14148631,Traditional Subsistence Farming of Smallholder Agroforestry Systems in Indonesia: A Review,Budiman Achmad,2022.0,Sustainability,73.0,18.25,0.3792,False
10.3390/en17174248,"CCUS Perspectives: Assessing Historical Contexts, Current Realities, and Future Prospects",William Ampomah,2024.0,Energies,36.0,18.0,0.375,False
10.1146/annurev-resource-100516-033554,Adaptation to Climate Change,Samuel Fankhauser,2017.0,Annual Review of Resource Economics,137.0,15.22,0.3741,False
10.1038/s41558-022-01482-7,Consistent and replicable estimation of bilateral climate finance,Malte Toetzke,2022.0,Nature Climate Change,36.0,9.0,0.3701,False
10.1002/bse.3323,Climate risk disclosures and global sustainability initiatives: A conceptual analysis and agenda for future research,Thanh Ngo,2022.0,Business Strategy and the Environment,69.0,17.25,0.3624,False
10.5089/9798400218101.001,"Sustainable Finance in Emerging Markets: Evolution, Challenges, and Policy Priorities",Fabio M. Natalucci,2022.0,IMF Working Paper,65.0,16.25,0.3616,True
10.1016/j.esd.2010.04.003,Lessons for low-carbon energy transition: Experience from the Renewable Energy and Energy Efficiency Partnership (REEEP),Binu Parthan,2010.0,Energy Sustainable Development/Energy for sustainable development,65.0,4.06,0.3603,False
10.1080/14693062.2020.1796568,Mobilising private climate finance for sustainable energy access and climate change mitigation in Sub-Saharan Africa,Axel Michaelowa,2020.0,Climate Policy,57.0,9.5,0.3583,False
10.63335/j.hp.2025.0006,"The Energy Trilemma: An overview of balancing security, sustainability, and affordability",Irfan Khan,2025.0,Habitable Planet,17.0,17.0,0.3583,False
10.3390/recycling3020019,Municipal Solid Waste Management in Latin America and the Caribbean: Issues and Potential Solutions from the Governance Perspective,Hiroshan Hettiarachchi,2018.0,Recycling,136.0,17.0,0.3583,False
10.3390/land10020141,Spatiotemporal Analysis of Land Use Patterns on Carbon Emissions in China,Qiaowen Lin,2021.0,Land,85.0,17.0,0.3583,False
10.1155/2019/7341465,Climate Variability and Farmers’ Perception in Southern Ethiopia,Befikadu Esayas,2019.0,Advances in Meteorology,92.0,13.14,0.3566,False
10.1016/j.econmod.2022.105765,Do green bonds de-risk investment in low-carbon stocks?,Juan C. Reboredo,2022.0,Economic Modelling,56.0,14.0,0.3553,False
10.3389/fenvs.2022.887341,The effect of green finance and unemployment rate on carbon emissions in china,Yiniu Cui,2022.0,Frontiers in Environmental Science,59.0,14.75,0.3521,False
10.1080/14693062.2020.1835603,Harnessing international climate governance to drive a sustainable recovery from the COVID-19 pandemic,Wolfgang Obergassel,2020.0,Climate Policy,60.0,10.0,0.3519,False
10.5402/2012/730631,Hydropower in the Context of Sustainable Energy Supply: A Review of Technologies and Challenges,Chiyembekezo S. Kaunda,2012.0,ISRN Renewable Energy,229.0,16.36,0.3475,False
10.1016/j.worlddev.2016.03.001,Carbon Pricing Revenues Could Close Infrastructure Access Gaps,Michael Jakob,2016.0,World Development,89.0,8.9,0.3464,False
10.3390/joitmc8020062,Blockchain Technology as a Game Changer for Green Innovation: Green Entrepreneurship as a Roadmap to Green Economic Sustainability in Peru,Mohammad Rashed Hasan Polas,2022.0,Journal of Open Innovation Technology Market and Complexity,65.0,16.25,0.3457,False
10.1371/journal.pclm.0000118,International carbon markets for carbon dioxide removal,Axel Michaelowa,2023.0,PLOS Climate,40.0,13.33,0.3432,False
10.56556/jescae.v2i1.451,Exploring Environmental Kuznets Curve and Pollution Haven Hypothesis in Bangladesh: The Impact of Foreign Direct Investment,Asif Raihan,2023.0,Journal of Environmental Science and Economics,48.0,16.0,0.3415,False
