language_correct,language_should_be,doc_type,doi_looks_valid,refs_expected,is_climate_finance,_idx,_source,_title,_language_tag,_doi
True,,book-chapter,True,False,False,13810,openalex,Introduction: The Politics of Climate Change in the Pacific,en,10.1007/978-3-319-69647-8_1
True,,article,True,True,True,4388,openalex,"India's low carbon value chain, green debt, and global climate finance architecture",en,10.1016/j.iimb.2023.03.005
True,,article,True,True,True,3420,openalex,Assessment of Climate Change Financing Mechanisms in Cameroon: A Comprehensive Review,en,10.9734/jgeesi/2024/v28i3754
True,,report,True,False,False,8755,openalex,"TUC City Profile: Recife, Brazil",en,10.53324/rrep9173
True,,article,True,True,True,11884,openalex,Review of Climate Research and Funding 1993 ~ 2017: A Multinomial Logistic Regression Approach,en,10.3808/jeil.201900011
True,,article,True,True,False,12869,openalex_historical,Climate Change In Colombia: Trends And Perspective to Achieve Sustainable Development,en,10.14207/ejsd.2018.v7n3p247
True,,working-paper,True,False,True,21272,openalex_historical,Efficient Documentation and Webmarketing Strategies for DNAs,en,10.22004/ag.econ.26172
True,,article,True,True,True,7165,openalex,The Stock Performance of Green Bond Issuers During COVID-19 Pandemic: The Case of China,en,10.1007/s10690-022-09386-4
True,,report,True,False,True,10252,openalex,Tuvalu: 2021 Article IV Consultation-Press Release; Staff Report; and Statement by the Executive Dir,en,10.5089/9781513591476.002
True,,dissertation,na,False,False,16858,openalex,ANALYZING MILLET PRICE REGIMES AND MARKET PERFORMANCE IN NIGER WITH REMOTE SENSING DATA,en,nan
False,en,article,True,True,False,2131,openalex,"Sustainable Management of Organic Waste in Municipalities: Pathways to Bio-Energy, Bio-Fertilizer Pr",nan,10.64229/xjnt7f33
True,,report,True,False,True,14646,openalex,A Financing Strategy for Community Based Climate Resilient Development,en,10.17169/refubium-21715
True,,article,True,True,False,5743,openalex_historical,On Regulating Chinese Consumer Environmental Behaviour To Reduce Global Warming: Some Reflections,en,10.3233/epl-230010
True,,report,True,False,True,3668,openalex,Private Sector Operations in 2023,en,10.22617/tcs240291-2
True,,article,True,True,False,13500,openalex_historical,TOWARDS SUSTAINABLE FOREST MANAGEMENT THROUGH ENHANCING SAFETY OF NATURE,en,10.9770/jssi.2017.6.4(14)
True,,article,True,True,False,17071,openalex_historical,Consolidation of Stakeholders' Initiatives to Mitigate Adverse Impacts of Climate Change in Nepalese,en,10.3126/njg.v12i0.9067
True,,article,True,True,False,3282,openalex_historical,Preliminary Exploration of Geological Storage Potential of Carbon Dioxide in Hunan Province under th,en,10.23977/erej.2023.080101
True,,report,True,False,False,9637,openalex,"World Economic Outlook, October 2021",en,10.5089/9781513577524.081
True,,article,True,True,True,9326,openalex,"Racial formation, coloniality, and climate finance organizations: Implications for emergent data pro",en,10.1177/20539517211027600
True,,article,True,True,True,6944,openalex,Busting the myths around public investment in clean energy,en,10.1038/s41560-022-01081-y
True,,article,True,True,False,2881,openalex_historical,"Estimating and forecasting suppressed electricity demand in Ghana under climate change, the informal",en,10.1016/j.heliyon.2024.e36001
True,,article,True,True,False,15814,openalex_historical,Orchestrating Global Solutions Networks: A Guide for Organizational Entrepreneurs,en,10.1162/inov_a_00209
True,,article,True,True,False,4980,openalex,Climate-Induced Migration a New Normal? A Systematic Research Analysis of the Climate-induced Migrat,en,10.59324/ejtas.2023.1(4).42
True,,working-paper,True,False,True,9794,openalex,Climate Finance and Carbon Pricing in the Context of Africa’s Continental Free Trade Area,en,10.31219/osf.io/h3jdq
True,,article,True,True,False,6614,openalex_historical,THE MAIN TRENDS IN RENEWABLE ENERGY DEVELOPMENT IN ARMENIA: CHALLENGES FOR ENERGY TRANSITION,en,10.61746/18292984-2023.2-75
True,,article,True,True,False,11459,openalex_historical,Straw Utilization in China—Status and Recommendations,en,10.3390/su11061762
True,,article,True,True,False,15775,openalex,Big Data: New Tricks for Econometrics,en,10.1257/jep.28.2.3
True,,book-chapter,True,False,False,5992,openalex,The Net Zero Idea and the Race to Save the Earth,en,10.1093/oso/9780192873903.003.0020
True,,book-chapter,True,False,False,5623,openalex,Internationale Klimapolitik,de,10.1515/9783110722529-016
True,,report,True,False,True,13488,openalex|grey,Results-Based Climate Finance in Practice,en,10.1596/26644
True,,article,True,True,True,4702,openalex_historical,Renewable Electricity Transition: A Case for Evaluating Infrastructure Investments through Real Opti,en,10.3390/su151310495
True,,report,True,False,False,13612,openalex,IWMI Annual report 2016,en,10.5337/2017.210
True,,article,True,True,True,18279,openalex_historical,Does the CDM discourage emission reduction targets in advanced developing countries?,en,10.1080/14693062.2011.592658
True,,article,True,True,True,9336,openalex,Changes in Climate Policies and Financial Strategies of Their Implementation in the EU and Russia,en,10.31107/2075-1990-2021-5-11-28
True,,article,True,True,False,7877,openalex_historical,Carbon emission scenario forecast and emission reduction path of China's logistics industry from the,en,10.54097/hset.v25i.3521
True,,article,True,True,True,2728,openalex,Addressing the climate–finance interaction in a new light: From green to brown assets disclosure in ,en,10.1002/jsc.2593
True,,working-paper,True,True,False,656,openalex,Corporate Energy Responsibility: International and Domestic Perspectives on Supply and Demand in the,en,10.2139/ssrn.5472306
True,,article,True,True,False,5063,openalex_historical,The Effects of System Pressure on Low-Carbon Innovation in Firms: A Case Study from China,en,10.3390/su151411066
False,en,other,True,False,True,1873,openalex_historical,Between Promise and Uncertainty in Carbon Emission Reduction: An investigation into the Implementati,nan,10.5281/zenodo.18151863
True,,conference-paper,True,True,False,11587,openalex_historical,Reduction of greenhouse gas emissions from renewable energy technologies in agricultural sectors of ,en,10.1051/e3sconf/201913501035
True,,article,True,True,False,5158,openalex_historical,The Shift to Synergies in China’s Climate Planning: Aligning Goals with Policies and Institutions,en,10.3390/cli11120234
False,en,other,True,False,True,201,openalex_historical,Achieving climate justice: climate finance and income inequality in developing countries,nan,10.6084/m9.figshare.31389871.v1
True,,article,True,True,False,4591,openalex_historical,Comparison of Technical and Operational Conditions of Traditional and Modern Charcoal Kilns: A Case ,en,10.3390/en16237757
True,,book-chapter,True,False,False,9462,openalex_historical,Menace and Mitigation of Health and Environmental Hazards of Charcoal Production in Nigeria,en,10.1007/978-3-030-45106-6_238
True,,conference-paper,True,True,True,16141,openalex_historical,Development of the First Internationally Accepted Standard for Geologic Storage of Carbon Dioxide ut,en,10.1016/j.egypro.2014.11.373
True,,article,True,True,True,19141,openalex_historical,Global Climate Change and Sustainable Energy Development: Focus on Emerging Issues and Strategies fo,en,10.1080/10485236.2010.10121747
True,,article,True,True,False,12517,openalex_historical,"The roles of network embeddedness, market incentives, and slack resources in the adoption of clean t",en,10.1080/14693062.2018.1534722
True,,report,True,False,False,19005,openalex_historical,Impacts of climate change on water resources and agriculture in Sri Lanka: a review and preliminary ,en,10.22004/ag.econ.94787
True,,review,True,True,False,1468,openalex_historical,A review on the potential of traditional agroforestry systems in enhancing carbon stocks in West Bil,en,10.33545/26180723.2025.v8.i9h.2459
True,,conference-paper,True,True,False,18356,openalex_historical,The current status of CCS development in South Africa,en,10.1016/j.egypro.2011.02.625
True,,conference-paper,True,True,False,5265,openalex_historical,Circular Economy: Drivers and Barriers to Development – Experience from Other Countries to Vietnam,en,10.2991/978-94-6463-150-0_22
True,,article,True,True,False,7789,openalex_historical,Soil Carbon Sequestration Potential of Terrestrial Ecosystems: Trends And Soil Priming Effects,en,10.12944/cwe.17.1.14
True,,article,True,True,True,2109,openalex_historical,Research on the Green Financial System and the Development of the Energy Industry under the Backgrou,en,10.63313/ebm.2008
True,,article,True,True,False,5724,openalex_historical,Lessons from Montréal,en,10.26443/firr.v14i1.155
True,,article,True,True,False,9755,openalex_historical,"A Comprehensive Review of Biomethanation of Urban Food Waste in Nairobi City County, Kenya",en,10.11648/j.jeece.20210604.15
False,en,article,True,True,False,1757,openalex_historical,HOW TO DEAL WITH DECARBONIZATION – THE ORGANA BIOTECH CASE STUDY,nan,10.51249/gei.v6i06.2732
True,,report,True,False,False,18598,openalex_historical,Biofuels and Rural Economic Development in Latin America and the Caribbean,en,10.18235/0011189
